timestamp,cpu_percent,mem_percent,mem_mb,net_io,block_io
2025-12-19 21:56:34,1.42,63.81,3.693,105MB / 2.34GB,2.74GB / 996MB
2025-12-19 21:56:40,2.31,64.03,3.705,105MB / 2.34GB,2.75GB / 996MB
2025-12-19 21:56:47,6.05,64.27,3.719,105MB / 2.37GB,2.77GB / 996MB
2025-12-19 21:56:54,2.27,64.27,3.719,105MB / 2.37GB,2.77GB / 996MB
2025-12-19 21:57:00,2.35,64.30,3.721,105MB / 2.4GB,2.77GB / 996MB
2025-12-19 21:57:06,4.26,64.30,3.721,105MB / 2.4GB,2.77GB / 996MB
2025-12-19 21:57:12,17.74,64.32,3.722,105MB / 2.42GB,2.77GB / 996MB
2025-12-19 21:57:20,27.30,64.27,3.719,105MB / 2.43GB,2.77GB / 997MB
2025-12-19 21:57:26,77.94,64.33,3.723,105MB / 2.45GB,2.78GB / 997MB
2025-12-19 21:57:32,30.20,64.14,3.712,105MB / 2.45GB,2.78GB / 1GB
2025-12-19 21:57:39,18.66,64.15,3.712,105MB / 2.46GB,2.79GB / 1GB
2025-12-19 21:57:46,3.20,63.94,3.7,105MB / 2.47GB,2.8GB / 1.02GB
2025-12-19 21:57:52,3.67,63.73,3.688,105MB / 2.48GB,2.8GB / 1.03GB
2025-12-19 21:57:59,2.61,63.74,3.688,105MB / 2.49GB,2.81GB / 1.03GB
2025-12-19 21:58:06,25.60,63.75,3.689,105MB / 2.5GB,2.81GB / 1.03GB
2025-12-19 21:58:12,29.43,63.72,3.687,105MB / 2.51GB,2.81GB / 1.03GB
2025-12-19 21:58:18,6.51,63.66,3.684,105MB / 2.51GB,2.81GB / 1.03GB
