timestamp,cpu_percent,mem_percent,load_avg
2025-12-19 21:56:34,29.61,97,2.72
2025-12-19 21:56:40,61.11,96,2.90
2025-12-19 21:56:47,58.15,97,3.63
2025-12-19 21:56:54,67.34,96,4.22
2025-12-19 21:57:00,62.53,97,5.50
2025-12-19 21:57:06,65.92,96,5.78
2025-12-19 21:57:12,64.64,97,6.12
2025-12-19 21:57:20,64.80,97,7.27
2025-12-19 21:57:26,56.61,97,7.81
2025-12-19 21:57:32,60.58,97,8.22
2025-12-19 21:57:39,57.38,97,9.40
2025-12-19 21:57:46,61.70,96,10.00
2025-12-19 21:57:52,58.48,97,10.24
2025-12-19 21:57:59,65.47,97,10.98
2025-12-19 21:58:06,63.15,97,11.30
2025-12-19 21:58:12,54.79,97,11.20
2025-12-19 21:58:18,15.29,97,10.70
