timestamp,cpu_percent,mem_percent,mem_mb,net_io,block_io
2025-12-19 21:56:34,3.16,15.28,905.1,3.87GB / 376MB,675GB / 9.26GB
2025-12-19 21:56:40,2.91,15.35,909.7,3.87GB / 376MB,675GB / 9.26GB
2025-12-19 21:56:47,529.74,21.48,1.243,3.88GB / 377MB,675GB / 9.26GB
2025-12-19 21:56:54,620.82,21.76,1.259,3.9GB / 380MB,675GB / 9.29GB
2025-12-19 21:57:00,622.95,23.01,1.332,3.93GB / 382MB,675GB / 9.31GB
2025-12-19 21:57:06,596.86,22.92,1.326,3.95GB / 385MB,675GB / 9.33GB
2025-12-19 21:57:12,664.41,23.84,1.38,3.97GB / 387MB,675GB / 9.36GB
2025-12-19 21:57:20,597.79,24.97,1.445,4GB / 389MB,675GB / 9.38GB
2025-12-19 21:57:26,533.46,25.25,1.461,4.02GB / 392MB,675GB / 9.4GB
2025-12-19 21:57:32,677.73,25.69,1.487,4.04GB / 394MB,675GB / 9.49GB
2025-12-19 21:57:39,645.44,26.14,1.513,4.06GB / 396MB,675GB / 9.51GB
2025-12-19 21:57:46,618.05,27.82,1.61,4.07GB / 398MB,675GB / 9.55GB
2025-12-19 21:57:52,618.05,27.56,1.595,4.09GB / 400MB,675GB / 9.57GB
2025-12-19 21:57:59,511.44,25.61,1.482,4.12GB / 402MB,675GB / 9.6GB
2025-12-19 21:58:06,540.57,26.16,1.514,4.14GB / 404MB,675GB / 9.62GB
2025-12-19 21:58:12,435.15,26.80,1.551,4.16GB / 407MB,675GB / 9.65GB
2025-12-19 21:58:18,283.99,26.97,1.561,4.17GB / 408MB,675GB / 9.69GB
